c1_NODE_HASH, c1_NODE_TEXT, c2_NODE_HASH, c2_NODE_TEXT, c3_NODE_HASH, c3_NODE_TEXT, r1_EDGE_DEDUPLICATION_HASH, r2_EDGE_DEDUPLICATION_HASH, r3_EDGE_DEDUPLICATION_HASH,
3666207389," ""drugs""",3834801741," ""candidate""",346819859," ""therapy""",1897771611,1848370150,4294650244,
1299984585," ""STAT3""",1993306183," ""neurogenesis""",346819859," ""therapy""",3870319259,532524207,1247803030,
3028660516," ""molecules""",1993306183," ""neurogenesis""",346819859," ""therapy""",3993942869,532524207,4029245588,
400486952," ""Notch""",1993306183," ""neurogenesis""",346819859," ""therapy""",1359724413,532524207,2988883622,
400486952," ""Notch""",1993306183," ""neurogenesis""",346819859," ""therapy""",3262747021,532524207,2988883622,
1299984585," ""STAT3""",2151100849," ""astrocytes""",346819859," ""therapy""",2068277824,1486422289,1247803030,
2839091252," ""properties""",2151100849," ""astrocytes""",346819859," ""therapy""",1056629430,1486422289,1802155142,
3222142027," ""IL-1beta""",2151100849," ""astrocytes""",346819859," ""therapy""",4013720966,1486422289,3649827233,
2534367975," ""IL-1""",2151100849," ""astrocytes""",346819859," ""therapy""",4075819710,1486422289,3426926265,
3475798116," ""autophagy""",2151100849," ""astrocytes""",346819859," ""therapy""",3368256601,1486422289,1047316467,
3666207389," ""drugs""",3475798116," ""autophagy""",346819859," ""therapy""",3481553543,1692374924,1909829029,
3666207389," ""drugs""",3475798116," ""autophagy""",346819859," ""therapy""",3481553543,1692374924,4294650244,
3666207389," ""drugs""",493535259," ""CPP""",346819859," ""therapy""",2540815002,2460601312,1909829029,
3666207389," ""drugs""",493535259," ""CPP""",346819859," ""therapy""",2540815002,2460601312,4294650244,
3666207389," ""drugs""",3020753394," ""blood pressure""",346819859," ""therapy""",2467618086,238998602,1909829029,
3666207389," ""drugs""",3020753394," ""blood pressure""",346819859," ""therapy""",569762969,238998602,1909829029,
1403136294," ""hormone""",3020753394," ""blood pressure""",346819859," ""therapy""",3052992531,238998602,994229651,
3666207389," ""drugs""",3020753394," ""blood pressure""",346819859," ""therapy""",2467618086,238998602,4294650244,
3666207389," ""drugs""",3020753394," ""blood pressure""",346819859," ""therapy""",569762969,238998602,4294650244,
1403136294," ""hormone""",539610226," ""mitochondria""",346819859," ""therapy""",2341411083,26926957,994229651,
3475798116," ""autophagy""",539610226," ""mitochondria""",346819859," ""therapy""",754785521,26926957,1047316467,
2759444277," ""apoptosis""",1604587087," ""ligand""",346819859," ""therapy""",1346401959,1259320820,2920393809,
2759444277," ""apoptosis""",1604587087," ""ligand""",346819859," ""therapy""",1346401959,1259320820,1365103848,
3028660516," ""molecules""",1432311024," ""angiogenesis""",346819859," ""therapy""",2134581198,504814912,4029245588,
3028660516," ""molecules""",1432311024," ""angiogenesis""",346819859," ""therapy""",1930001978,504814912,4029245588,
400486952," ""Notch""",1432311024," ""angiogenesis""",346819859," ""therapy""",606020399,504814912,2988883622,
3666207389," ""drugs""",1432311024," ""angiogenesis""",346819859," ""therapy""",2226033033,504814912,1909829029,
3666207389," ""drugs""",1432311024," ""angiogenesis""",346819859," ""therapy""",2730583456,504814912,1909829029,
3666207389," ""drugs""",1432311024," ""angiogenesis""",346819859," ""therapy""",2226033033,504814912,4294650244,
3666207389," ""drugs""",1432311024," ""angiogenesis""",346819859," ""therapy""",2730583456,504814912,4294650244,
3088464829," ""EGFR""",1336794395," ""small molecule""",346819859," ""therapy""",2446325543,796004168,596417938,
400486952," ""Notch""",3233980802," ""GSCs""",346819859," ""therapy""",4288002160,3395055254,2988883622,
3666207389," ""drugs""",3233980802," ""GSCs""",346819859," ""therapy""",533977935,3395055254,1909829029,
3666207389," ""drugs""",3233980802," ""GSCs""",346819859," ""therapy""",533977935,3395055254,4294650244,
3088464829," ""EGFR""",1852024046," ""antibodies""",346819859," ""therapy""",1606580991,1309908327,596417938,
3666207389," ""drugs""",1852024046," ""antibodies""",346819859," ""therapy""",4260660424,1309908327,1909829029,
2020671612," ""immunotherapy""",1852024046," ""antibodies""",346819859," ""therapy""",1464842965,1309908327,685983895,
3666207389," ""drugs""",1852024046," ""antibodies""",346819859," ""therapy""",4260660424,1309908327,4294650244,
2759444277," ""apoptosis""",2012021972," ""cytokine""",346819859," ""therapy""",823152476,3640059484,2920393809,
2759444277," ""apoptosis""",2012021972," ""cytokine""",346819859," ""therapy""",1429173191,3640059484,2920393809,
1299984585," ""STAT3""",2012021972," ""cytokine""",346819859," ""therapy""",1889367831,3640059484,1247803030,
3028660516," ""molecules""",2012021972," ""cytokine""",346819859," ""therapy""",609141998,3640059484,4029245588,
3028660516," ""molecules""",2012021972," ""cytokine""",346819859," ""therapy""",4545818,3640059484,4029245588,
1694135662," ""tissues""",2012021972," ""cytokine""",346819859," ""therapy""",649600958,3640059484,2651146056,
2759444277," ""apoptosis""",2012021972," ""cytokine""",346819859," ""therapy""",823152476,3640059484,1365103848,
2759444277," ""apoptosis""",2012021972," ""cytokine""",346819859," ""therapy""",1429173191,3640059484,1365103848,
1080151631," ""differentiation""",2012021972," ""cytokine""",346819859," ""therapy""",1088365312,3640059484,2490462281,
3838908763," ""DCs""",2012021972," ""cytokine""",346819859," ""therapy""",1761869878,3640059484,2149356283,
3666207389," ""drugs""",2012021972," ""cytokine""",346819859," ""therapy""",3912401518,3640059484,1909829029,
3222142027," ""IL-1beta""",2012021972," ""cytokine""",346819859," ""therapy""",530740232,3640059484,3649827233,
1544127166," ""Th17""",2012021972," ""cytokine""",346819859," ""therapy""",3970402144,3640059484,1140578133,
2534367975," ""IL-1""",2012021972," ""cytokine""",346819859," ""therapy""",1632593509,3640059484,3426926265,
176400681," ""TNFalpha""",2012021972," ""cytokine""",346819859," ""therapy""",264194303,3640059484,2217116065,
3666207389," ""drugs""",2012021972," ""cytokine""",346819859," ""therapy""",3912401518,3640059484,4294650244,
3666207389," ""drugs""",4082168452," ""subjects""",346819859," ""therapy""",1387599473,2878261653,1909829029,
3666207389," ""drugs""",4082168452," ""subjects""",346819859," ""therapy""",1387599473,2878261653,4294650244,
1768023329," ""doxorubicin""",431120068," ""tumor""",346819859," ""therapy""",3284792590,489320783,515707950,
2759444277," ""apoptosis""",431120068," ""tumor""",346819859," ""therapy""",1781753568,489320783,2920393809,
3028660516," ""molecules""",431120068," ""tumor""",346819859," ""therapy""",3522016671,489320783,4029245588,
3028660516," ""molecules""",431120068," ""tumor""",346819859," ""therapy""",3700605955,489320783,4029245588,
3245380764," ""metastasis""",431120068," ""tumor""",346819859," ""therapy""",516544561,489320783,1449007698,
3245380764," ""metastasis""",431120068," ""tumor""",346819859," ""therapy""",1223858416,489320783,1449007698,
3088464829," ""EGFR""",431120068," ""tumor""",346819859," ""therapy""",3208787175,489320783,596417938,
3088464829," ""EGFR""",431120068," ""tumor""",346819859," ""therapy""",19177948,489320783,596417938,
2759444277," ""apoptosis""",431120068," ""tumor""",346819859," ""therapy""",1781753568,489320783,1365103848,
1546072174," ""cancer stem cells""",431120068," ""tumor""",346819859," ""therapy""",3402472571,489320783,1968347498,
3087817755," ""CSCs""",431120068," ""tumor""",346819859," ""therapy""",446685551,489320783,1968501899,
400486952," ""Notch""",431120068," ""tumor""",346819859," ""therapy""",603672678,489320783,2988883622,
1546072174," ""cancer stem cells""",431120068," ""tumor""",346819859," ""therapy""",3402472571,489320783,3729715970,
3666207389," ""drugs""",431120068," ""tumor""",346819859," ""therapy""",2171445401,489320783,1909829029,
3666207389," ""drugs""",431120068," ""tumor""",346819859," ""therapy""",3028421649,489320783,1909829029,
2839091252," ""properties""",431120068," ""tumor""",346819859," ""therapy""",1990976354,489320783,1802155142,
3254385913," ""Hh""",431120068," ""tumor""",346819859," ""therapy""",325358084,489320783,571372181,
2534367975," ""IL-1""",431120068," ""tumor""",346819859," ""therapy""",2520757021,489320783,3426926265,
3666207389," ""drugs""",431120068," ""tumor""",346819859," ""therapy""",2171445401,489320783,4294650244,
3666207389," ""drugs""",431120068," ""tumor""",346819859," ""therapy""",3028421649,489320783,4294650244,
2013292093," ""chemotherapy""",431120068," ""tumor""",346819859," ""therapy""",2394962243,489320783,1096798519,
3475798116," ""autophagy""",431120068," ""tumor""",346819859," ""therapy""",3286886969,489320783,1047316467,
1080151631," ""differentiation""",3432278698," ""hepcidin""",346819859," ""therapy""",2085225579,4020760732,2490462281,
3666207389," ""drugs""",1457697910," ""GPCR""",346819859," ""therapy""",1257783293,3769977212,1909829029,
3666207389," ""drugs""",1457697910," ""GPCR""",346819859," ""therapy""",1257783293,3769977212,4294650244,
3028660516," ""molecules""",3285858077," ""enzymes""",346819859," ""therapy""",3566745764,583936817,4029245588,
3915154542," ""prodrug""",3285858077," ""enzymes""",346819859," ""therapy""",495846659,583936817,2663844199,
3666207389," ""drugs""",3285858077," ""enzymes""",346819859," ""therapy""",2855501680,583936817,1909829029,
3666207389," ""drugs""",3285858077," ""enzymes""",346819859," ""therapy""",855495203,583936817,1909829029,
3666207389," ""drugs""",3285858077," ""enzymes""",346819859," ""therapy""",2855501680,583936817,4294650244,
3666207389," ""drugs""",3285858077," ""enzymes""",346819859," ""therapy""",855495203,583936817,4294650244,
3666207389," ""drugs""",1825622649," ""CCR5""",346819859," ""therapy""",544862842,1265989759,1909829029,
3666207389," ""drugs""",1825622649," ""CCR5""",346819859," ""therapy""",544862842,1265989759,4294650244,
3028660516," ""molecules""",223443450," ""lipid""",346819859," ""therapy""",3990669130,4229939746,4029245588,
3666207389," ""drugs""",223443450," ""lipid""",346819859," ""therapy""",695558169,4229939746,1909829029,
2839091252," ""properties""",223443450," ""lipid""",346819859," ""therapy""",2415250269,4229939746,1802155142,
3666207389," ""drugs""",223443450," ""lipid""",346819859," ""therapy""",695558169,4229939746,4294650244,
3666207389," ""drugs""",1046197690," ""mTOR""",346819859," ""therapy""",352124524,1944286882,1909829029,
3666207389," ""drugs""",1046197690," ""mTOR""",346819859," ""therapy""",352124524,1944286882,4294650244,
3666207389," ""drugs""",3039498601," ""remission""",346819859," ""therapy""",173855843,717503505,1909829029,
3666207389," ""drugs""",3039498601," ""remission""",346819859," ""therapy""",173855843,717503505,4294650244,
2013292093," ""chemotherapy""",3039498601," ""remission""",346819859," ""therapy""",1133903088,717503505,1096798519,
1694135662," ""tissues""",761929756," ""insulin""",346819859," ""therapy""",105636872,1723729466,2651146056,
3720968553," ""metabolism""",761929756," ""insulin""",346819859," ""therapy""",582544480,1723729466,401761470,
878369019," ""sensitivity""",761929756," ""insulin""",346819859," ""therapy""",2944128997,1723729466,2664686739,
878369019," ""sensitivity""",761929756," ""insulin""",346819859," ""therapy""",887872475,1723729466,2664686739,
3720968553," ""metabolism""",761929756," ""insulin""",346819859," ""therapy""",582544480,1723729466,1619508560,
3666207389," ""drugs""",761929756," ""insulin""",346819859," ""therapy""",275822700,1723729466,1909829029,
3709594803," ""MET""",761929756," ""insulin""",346819859," ""therapy""",1552847444,1723729466,1408131210,
1403136294," ""hormone""",761929756," ""insulin""",346819859," ""therapy""",1763198236,1723729466,994229651,
1403136294," ""hormone""",761929756," ""insulin""",346819859," ""therapy""",1407443040,1723729466,994229651,
176400681," ""TNFalpha""",761929756," ""insulin""",346819859," ""therapy""",2808304758,1723729466,2217116065,
3666207389," ""drugs""",761929756," ""insulin""",346819859," ""therapy""",275822700,1723729466,4294650244,
1403136294," ""hormone""",3590177784," ""testing""",346819859," ""therapy""",1212829842,439323156,994229651,
3666207389," ""drugs""",667535708," ""Abeta""",346819859," ""therapy""",1477594006,233390323,1909829029,
3666207389," ""drugs""",667535708," ""Abeta""",346819859," ""therapy""",675940170,233390323,1909829029,
2020671612," ""immunotherapy""",667535708," ""Abeta""",346819859," ""therapy""",4091628067,233390323,685983895,
2020671612," ""immunotherapy""",667535708," ""Abeta""",346819859," ""therapy""",3621585694,233390323,685983895,
3666207389," ""drugs""",667535708," ""Abeta""",346819859," ""therapy""",1477594006,233390323,4294650244,
3666207389," ""drugs""",667535708," ""Abeta""",346819859," ""therapy""",675940170,233390323,4294650244,
3475798116," ""autophagy""",667535708," ""Abeta""",346819859," ""therapy""",3325327087,233390323,1047316467,
3028660516," ""molecules""",3340937008," ""macrophages""",346819859," ""therapy""",2261649631,4072231902,4029245588,
2839091252," ""properties""",3340937008," ""macrophages""",346819859," ""therapy""",78249817,4072231902,1802155142,
2839091252," ""properties""",1215165119," ""effectiveness""",346819859," ""therapy""",3525373683,2668741419,1802155142,
3475798116," ""autophagy""",1215165119," ""effectiveness""",346819859," ""therapy""",1603977521,2668741419,1047316467,
2759444277," ""apoptosis""",3255635864," ""receptor""",346819859," ""therapy""",471083019,2434991354,2920393809,
2759444277," ""apoptosis""",3255635864," ""receptor""",346819859," ""therapy""",471083019,2434991354,1365103848,
3666207389," ""drugs""",3255635864," ""receptor""",346819859," ""therapy""",3463067989,2434991354,1909829029,
3666207389," ""drugs""",3255635864," ""receptor""",346819859," ""therapy""",4250044282,2434991354,1909829029,
1403136294," ""hormone""",3255635864," ""receptor""",346819859," ""therapy""",1189821300,2434991354,994229651,
3666207389," ""drugs""",3255635864," ""receptor""",346819859," ""therapy""",3463067989,2434991354,4294650244,
3666207389," ""drugs""",3255635864," ""receptor""",346819859," ""therapy""",4250044282,2434991354,4294650244,
3254385913," ""Hh""",3087817755," ""CSCs""",346819859," ""therapy""",4034959184,883085059,571372181,
3028660516," ""molecules""",4272470723," ""organs""",346819859," ""therapy""",2932607231,1063375034,4029245588,
3666207389," ""drugs""",4272470723," ""organs""",346819859," ""therapy""",2572479390,1063375034,1909829029,
1403136294," ""hormone""",4272470723," ""organs""",346819859," ""therapy""",3465356646,1063375034,994229651,
3666207389," ""drugs""",4272470723," ""organs""",346819859," ""therapy""",2572479390,1063375034,4294650244,
3028660516," ""molecules""",819059331," ""TLR""",346819859," ""therapy""",2201751908,374068152,4029245588,
2759444277," ""apoptosis""",2722833611," ""cancer""",346819859," ""therapy""",2936924645,4294932598,2920393809,
3420562484," ""EMT""",2722833611," ""cancer""",346819859," ""therapy""",3713937632,4294932598,1602763526,
3028660516," ""molecules""",2722833611," ""cancer""",346819859," ""therapy""",82219947,4294932598,4029245588,
3245380764," ""metastasis""",2722833611," ""cancer""",346819859," ""therapy""",3351362529,4294932598,1449007698,
2759444277," ""apoptosis""",2722833611," ""cancer""",346819859," ""therapy""",2936924645,4294932598,1365103848,
2418874922," ""radiotherapy""",2722833611," ""cancer""",346819859," ""therapy""",2397484913,4294932598,4044021467,
3087817755," ""CSCs""",2722833611," ""cancer""",346819859," ""therapy""",4274714684,4294932598,1968501899,
400486952," ""Notch""",2722833611," ""cancer""",346819859," ""therapy""",3505580682,4294932598,2988883622,
3254385913," ""Hh""",2722833611," ""cancer""",346819859," ""therapy""",339394837,4294932598,571372181,
3028660516," ""molecules""",3222774272," ""IL-6""",346819859," ""therapy""",2452505422,2119951487,4029245588,
3838908763," ""DCs""",3222774272," ""IL-6""",346819859," ""therapy""",2499625043,2119951487,2149356283,
3222142027," ""IL-1beta""",3222774272," ""IL-6""",346819859," ""therapy""",102278954,2119951487,3649827233,
3222142027," ""IL-1beta""",3222774272," ""IL-6""",346819859," ""therapy""",1527895060,2119951487,3649827233,
1544127166," ""Th17""",3222774272," ""IL-6""",346819859," ""therapy""",443050813,2119951487,1140578133,
2534367975," ""IL-1""",3222774272," ""IL-6""",346819859," ""therapy""",3581423195,2119951487,3426926265,
2759444277," ""apoptosis""",4136829623," ""glioma""",346819859," ""therapy""",312775471,1048605450,2920393809,
3088464829," ""EGFR""",4136829623," ""glioma""",346819859," ""therapy""",29477546,1048605450,596417938,
2759444277," ""apoptosis""",4136829623," ""glioma""",346819859," ""therapy""",312775471,1048605450,1365103848,
1768023329," ""doxorubicin""",431120068," ""tumor""",346819859," ""therapy""",3284792590,2691674059,515707950,
2759444277," ""apoptosis""",431120068," ""tumor""",346819859," ""therapy""",1781753568,2691674059,2920393809,
3028660516," ""molecules""",431120068," ""tumor""",346819859," ""therapy""",3522016671,2691674059,4029245588,
3028660516," ""molecules""",431120068," ""tumor""",346819859," ""therapy""",3700605955,2691674059,4029245588,
3245380764," ""metastasis""",431120068," ""tumor""",346819859," ""therapy""",516544561,2691674059,1449007698,
3245380764," ""metastasis""",431120068," ""tumor""",346819859," ""therapy""",1223858416,2691674059,1449007698,
3088464829," ""EGFR""",431120068," ""tumor""",346819859," ""therapy""",3208787175,2691674059,596417938,
3088464829," ""EGFR""",431120068," ""tumor""",346819859," ""therapy""",19177948,2691674059,596417938,
2759444277," ""apoptosis""",431120068," ""tumor""",346819859," ""therapy""",1781753568,2691674059,1365103848,
1546072174," ""cancer stem cells""",431120068," ""tumor""",346819859," ""therapy""",3402472571,2691674059,1968347498,
3087817755," ""CSCs""",431120068," ""tumor""",346819859," ""therapy""",446685551,2691674059,1968501899,
400486952," ""Notch""",431120068," ""tumor""",346819859," ""therapy""",603672678,2691674059,2988883622,
1546072174," ""cancer stem cells""",431120068," ""tumor""",346819859," ""therapy""",3402472571,2691674059,3729715970,
3666207389," ""drugs""",431120068," ""tumor""",346819859," ""therapy""",2171445401,2691674059,1909829029,
3666207389," ""drugs""",431120068," ""tumor""",346819859," ""therapy""",3028421649,2691674059,1909829029,
2839091252," ""properties""",431120068," ""tumor""",346819859," ""therapy""",1990976354,2691674059,1802155142,
3254385913," ""Hh""",431120068," ""tumor""",346819859," ""therapy""",325358084,2691674059,571372181,
2534367975," ""IL-1""",431120068," ""tumor""",346819859," ""therapy""",2520757021,2691674059,3426926265,
3666207389," ""drugs""",431120068," ""tumor""",346819859," ""therapy""",2171445401,2691674059,4294650244,
3666207389," ""drugs""",431120068," ""tumor""",346819859," ""therapy""",3028421649,2691674059,4294650244,
2013292093," ""chemotherapy""",431120068," ""tumor""",346819859," ""therapy""",2394962243,2691674059,1096798519,
3475798116," ""autophagy""",431120068," ""tumor""",346819859," ""therapy""",3286886969,2691674059,1047316467,
1080151631," ""differentiation""",2225190194," ""B-cell""",346819859," ""therapy""",3701125246,2231861628,2490462281,
3838908763," ""DCs""",2225190194," ""B-cell""",346819859," ""therapy""",2162845511,2231861628,2149356283,
1080151631," ""differentiation""",2225190194," ""B-cell""",346819859," ""therapy""",3701125246,4285712076,2490462281,
3838908763," ""DCs""",2225190194," ""B-cell""",346819859," ""therapy""",2162845511,4285712076,2149356283,
3666207389," ""drugs""",991930843," ""cholesterol""",346819859," ""therapy""",508788724,924045166,1909829029,
2839091252," ""properties""",991930843," ""cholesterol""",346819859," ""therapy""",1848512786,924045166,1802155142,
3666207389," ""drugs""",991930843," ""cholesterol""",346819859," ""therapy""",508788724,924045166,4294650244,
1475259340," ""week""",2504905156," ""dose""",346819859," ""therapy""",841071455,2114399531,1183169148,
3666207389," ""drugs""",2504905156," ""dose""",346819859," ""therapy""",1192534720,2114399531,1909829029,
3666207389," ""drugs""",2504905156," ""dose""",346819859," ""therapy""",1192534720,2114399531,4294650244,
3666207389," ""drugs""",2479811661," ""kinase""",346819859," ""therapy""",3846423409,1459569810,1909829029,
3666207389," ""drugs""",2479811661," ""kinase""",346819859," ""therapy""",3846423409,1459569810,4294650244,
1299984585," ""STAT3""",482709326," ""VEGF""",346819859," ""therapy""",3703359384,587145134,1247803030,
3088464829," ""EGFR""",482709326," ""VEGF""",346819859," ""therapy""",3103265959,587145134,596417938,
3666207389," ""drugs""",482709326," ""VEGF""",346819859," ""therapy""",1518100536,587145134,1909829029,
3666207389," ""drugs""",482709326," ""VEGF""",346819859," ""therapy""",1518100536,587145134,4294650244,
3666207389," ""drugs""",3725585452," ""glucose""",346819859," ""therapy""",2685526228,864770633,1909829029,
3666207389," ""drugs""",3725585452," ""glucose""",346819859," ""therapy""",2685526228,864770633,4294650244,
4052773899," ""prediction""",1491219596," ""miRNA""",346819859," ""therapy""",1718223134,850876062,534899645,
3666207389," ""drugs""",1491219596," ""miRNA""",346819859," ""therapy""",624787394,850876062,1909829029,
3666207389," ""drugs""",1491219596," ""miRNA""",346819859," ""therapy""",624787394,850876062,4294650244,
3666207389," ""drugs""",2667241362," ""ATP""",864510928," ""the transition""",2782353477,4120274125,3247643020,
3666207389," ""drugs""",3829589007," ""events""",864510928," ""the transition""",2845538252,1369922344,3247643020,
3666207389," ""drugs""",650771524," ""transcription""",864510928," ""the transition""",4287670863,3155012644,3247643020,
3514969157," ""IL-4""",2012021972," ""cytokine""",3311121493," ""B cell differentiation""",2783427782,1177359475,2346773192,
2012021972," ""cytokine""",3340937008," ""macrophages""",1983884156," ""tissue inflammation""",3070526616,2569909520,2892368263,
346819859," ""therapy""",3255635864," ""receptor""",2049721134," ""interaction""",2078800184,2379415609,296546733,
3886353917," ""peptide""",3255635864," ""receptor""",2049721134," ""interaction""",1190097446,2379415609,689612661,
4086928548," ""mutations""",3255635864," ""receptor""",2049721134," ""interaction""",3507067469,2379415609,3531397171,
4086928548," ""mutations""",3255635864," ""receptor""",2049721134," ""interaction""",3736681334,2379415609,3531397171,
2842292898," ""compounds""",3255635864," ""receptor""",2049721134," ""interaction""",3099727338,2379415609,3523918632,
2842292898," ""compounds""",3255635864," ""receptor""",2049721134," ""interaction""",1850548852,2379415609,3523918632,
3829589007," ""events""",3255635864," ""receptor""",2049721134," ""interaction""",1826078614,2379415609,1233190540,
4242409850," ""peroxisome proliferator""",3255635864," ""receptor""",2049721134," ""interaction""",2308010347,2379415609,2789085402,
4242409850," ""peroxisome proliferator""",3255635864," ""receptor""",2049721134," ""interaction""",669876263,2379415609,2789085402,
2398089587," ""domain""",3255635864," ""receptor""",2049721134," ""interaction""",1924398886,2379415609,874212519,
1693221375," ""binding""",3255635864," ""receptor""",2049721134," ""interaction""",4188312741,2379415609,1585652618,
346819859," ""therapy""",3666207389," ""drugs""",2049721134," ""interaction""",602945204,288510043,296546733,
3297091807," ""oxidative stress""",3666207389," ""drugs""",2049721134," ""interaction""",3375070484,288510043,219108984,
4086928548," ""mutations""",3666207389," ""drugs""",2049721134," ""interaction""",1309910726,288510043,3531397171,
2842292898," ""compounds""",3666207389," ""drugs""",2049721134," ""interaction""",1839735533,288510043,3523918632,
3829589007," ""events""",3666207389," ""drugs""",2049721134," ""interaction""",2355255984,288510043,1233190540,
4075530726," ""predicted""",1609418433," ""mRNA""",2049721134," ""interaction""",3359896676,1592139700,3052826403,
1693221375," ""binding""",1609418433," ""mRNA""",2049721134," ""interaction""",1298362892,1592139700,1585652618,
346819859," ""therapy""",1852024046," ""antibodies""",2049721134," ""interaction""",411916424,1756413594,296546733,
3886353917," ""peptide""",1852024046," ""antibodies""",2049721134," ""interaction""",4001256679,1756413594,689612661,
4242409850," ""peroxisome proliferator""",1604587087," ""ligand""",2049721134," ""interaction""",3106541797,1099548689,2789085402,
346819859," ""therapy""",1579843373," ""monoclonal antibodies""",2049721134," ""interaction""",2292914292,917389026,296546733,
3297091807," ""oxidative stress""",3028660516," ""molecules""",2049721134," ""interaction""",227408532,3263694417,219108984,
3886353917," ""peptide""",3028660516," ""molecules""",2049721134," ""interaction""",1262472477,3263694417,689612661,
4086928548," ""mutations""",3028660516," ""molecules""",2049721134," ""interaction""",2648456655,3263694417,3531397171,
3829589007," ""events""",3028660516," ""molecules""",2049721134," ""interaction""",2906039438,3263694417,1233190540,
2398089587," ""domain""",3028660516," ""molecules""",2049721134," ""interaction""",973582157,3263694417,874212519,
4086928548," ""mutations""",2392361443," ""sites""",2049721134," ""interaction""",3574697257,866596265,3531397171,
2842292898," ""compounds""",2392361443," ""sites""",2049721134," ""interaction""",1540320768,866596265,3523918632,
4075530726," ""predicted""",2392361443," ""sites""",2049721134," ""interaction""",305883011,866596265,3052826403,
2218366465," ""NF-kappaB""",3317824170," ""experiments""",2049721134," ""interaction""",3134239568,3380385222,3252260428,
3886353917," ""peptide""",3317824170," ""experiments""",2049721134," ""interaction""",1870012711,3380385222,689612661,
4086928548," ""mutations""",4270400877," ""beta-catenin""",2049721134," ""interaction""",2639286578,3771466168,3531397171,
4086928548," ""mutations""",3699479248," ""phosphorylation""",2049721134," ""interaction""",3693276944,1506123681,3531397171,
2842292898," ""compounds""",3699479248," ""phosphorylation""",2049721134," ""interaction""",1325670732,1506123681,3523918632,
3829589007," ""events""",3699479248," ""phosphorylation""",2049721134," ""interaction""",3585174383,1506123681,1233190540,
4086928548," ""mutations""",2474687682," ""structures""",2049721134," ""interaction""",1236677608,3018108084,3531397171,
3829589007," ""events""",3923798738," ""paracrine""",2049721134," ""interaction""",337950327,3403067857,1233190540,
346819859," ""therapy""",820689520," ""DNA damage""",2049721134," ""interaction""",3043038028,500356851,296546733,
3297091807," ""oxidative stress""",820689520," ""DNA damage""",2049721134," ""interaction""",519531091,500356851,219108984,
3297091807," ""oxidative stress""",820689520," ""DNA damage""",2049721134," ""interaction""",504149869,500356851,219108984,
4086928548," ""mutations""",4151743713," ""PTEN""",2049721134," ""interaction""",819967414,4053742626,3531397171,
346819859," ""therapy""",2290862010," ""injury""",2049721134," ""interaction""",3896708073,1857229691,296546733,
3297091807," ""oxidative stress""",2290862010," ""injury""",2049721134," ""interaction""",1415951317,1857229691,219108984,
3297091807," ""oxidative stress""",2290862010," ""injury""",2049721134," ""interaction""",2484690014,1857229691,219108984,
3829589007," ""events""",2290862010," ""injury""",2049721134," ""interaction""",404474427,1857229691,1233190540,
4075530726," ""predicted""",1491219596," ""miRNA""",2049721134," ""interaction""",2351389962,4049808109,3052826403,
3297091807," ""oxidative stress""",4086928548," ""mutations""",2049721134," ""interaction""",3595654689,3157919031,219108984,
